"Statistic Label","Census Year","Electoral Divisions","UNIT","VALUE"
"Population - 2022","2022","Merchants Quay E, Dublin City","Number","2651"
"Population - 2022","2022","Merchants Quay F, Dublin City","Number","2328"
"Population - 2022","2022","Mountjoy A, Dublin City","Number","7374"
"Population - 2022","2022","Mountjoy B, Dublin City","Number","4537"
"Population - 2022","2022","North City, Dublin City","Number","6749"
"Population - 2022","2022","North Dock A, Dublin City","Number","1406"
"Population - 2022","2022","North Dock B, Dublin City","Number","10173"
"Population - 2022","2022","North Dock C, Dublin City","Number","4328"
"Population - 2022","2022","Pembroke East A, Dublin City","Number","5017"
"Population - 2022","2022","Pembroke East B, Dublin City","Number","3852"
"Population - 2022","2022","Pembroke East C, Dublin City","Number","4179"
"Population - 2022","2022","Pembroke East D, Dublin City","Number","5368"
"Population - 2022","2022","Pembroke East E, Dublin City","Number","3924"
"Population - 2022","2022","Pembroke West A, Dublin City","Number","5144"
"Population - 2022","2022","Pembroke West B, Dublin City","Number","3214"
"Population - 2022","2022","Pembroke West C, Dublin City","Number","4385"
"Population - 2022","2022","Phoenix Park, Dublin City","Number","1465"
"Population - 2022","2022","Priorswood A, Dublin City","Number","1574"
"Population - 2022","2022","Priorswood B, Dublin City","Number","2794"
"Population - 2022","2022","Priorswood C, Dublin City","Number","4883"
"Population - 2022","2022","Priorswood D, Dublin City","Number","2653"
"Population - 2022","2022","Priorswood E, Dublin City","Number","2771"
"Population - 2022","2022","Raheny-Foxfield, Dublin City","Number","2553"
"Population - 2022","2022","Raheny-Greendale, Dublin City","Number","2262"
"Population - 2022","2022","Raheny-St. Assam, Dublin City","Number","3919"
"Population - 2022","2022","Rathfarnham, Dublin City","Number","5768"
"Population - 2022","2022","Rathmines East A, Dublin City","Number","4979"
"Population - 2022","2022","Rathmines East B, Dublin City","Number","5705"
"Population - 2022","2022","Rathmines East C, Dublin City","Number","3484"
"Population - 2022","2022","Rathmines East D, Dublin City","Number","2755"
"Population - 2022","2022","Rathmines West A, Dublin City","Number","6115"
"Population - 2022","2022","Rathmines West B, Dublin City","Number","3818"
"Population - 2022","2022","Rathmines West C, Dublin City","Number","2857"
"Population - 2022","2022","Rathmines West D, Dublin City","Number","3222"
"Population - 2022","2022","Rathmines West E, Dublin City","Number","3712"
"Population - 2022","2022","Rathmines West F, Dublin City","Number","2943"
"Population - 2022","2022","Rotunda A, Dublin City","Number","6528"
"Population - 2022","2022","Rotunda B, Dublin City","Number","3589"
"Population - 2022","2022","Royal Exchange A, Dublin City","Number","5063"
"Population - 2022","2022","Royal Exchange B, Dublin City","Number","2213"
"Population - 2022","2022","Saint Kevin's, Dublin City","Number","5732"
"Population - 2022","2022","South Dock, Dublin City","Number","8320"
"Population - 2022","2022","Terenure A, Dublin City","Number","3982"
"Population - 2022","2022","Terenure B, Dublin City","Number","3746"
"Population - 2022","2022","Terenure C, Dublin City","Number","1881"
"Population - 2022","2022","Terenure D, Dublin City","Number","782"
"Population - 2022","2022","Ushers A, Dublin City","Number","5117"
"Population - 2022","2022","Ushers B, Dublin City","Number","1903"
"Population - 2022","2022","Ushers C, Dublin City","Number","4069"
"Population - 2022","2022","Ushers D, Dublin City","Number","2390"
"Population - 2022","2022","Ushers E, Dublin City","Number","1859"
"Population - 2022","2022","Ushers F, Dublin City","Number","3461"
"Population - 2022","2022","Walkinstown A, Dublin City","Number","2947"
"Population - 2022","2022","Walkinstown B, Dublin City","Number","2014"
"Population - 2022","2022","Walkinstown C, Dublin City","Number","2481"
"Population - 2022","2022","Whitehall A, Dublin City","Number","3117"
"Population - 2022","2022","Whitehall B, Dublin City","Number","4371"
"Population - 2022","2022","Whitehall C, Dublin City","Number","2908"
"Population - 2022","2022","Whitehall D, Dublin City","Number","3279"
"Population - 2022","2022","Wood Quay A, Dublin City","Number","2871"
"Population - 2022","2022","Wood Quay B, Dublin City","Number","3907"
"Population - 2022","2022","Ballinascorney, South Dublin","Number","874"
"Population - 2022","2022","Ballyboden, South Dublin","Number","5246"
"Population - 2022","2022","Bohernabreena, South Dublin","Number","5672"
"Population - 2022","2022","Clondalkin Village, South Dublin","Number","9388"
"Population - 2022","2022","Clondalkin-Ballymount, South Dublin","Number","2320"
"Population - 2022","2022","Clondalkin-Cappaghmore, South Dublin","Number","2445"
"Population - 2022","2022","Clondalkin-Dunawley, South Dublin","Number","11298"
"Population - 2022","2022","Clondalkin-Monastery, South Dublin","Number","11357"
"Population - 2022","2022","Clondalkin-Moorfield, South Dublin","Number","7024"
"Population - 2022","2022","Clondalkin-Rowlagh, South Dublin","Number","4106"
"Population - 2022","2022","Edmondstown, South Dublin","Number","5685"
"Population - 2022","2022","Firhouse Village, South Dublin","Number","12254"
"Population - 2022","2022","Firhouse-Ballycullen, South Dublin","Number","10522"
"Population - 2022","2022","Firhouse-Knocklyon, South Dublin","Number","3510"
"Population - 2022","2022","Lucan Heights, South Dublin","Number","5131"
"Population - 2022","2022","Lucan-Esker, South Dublin","Number","33849"
"Population - 2022","2022","Lucan-St. Helens, South Dublin","Number","16805"
"Population - 2022","2022","Newcastle, South Dublin","Number","5552"
"Population - 2022","2022","Palmerston Village, South Dublin","Number","3689"
"Population - 2022","2022","Palmerston West, South Dublin","Number","7323"
"Population - 2022","2022","Rathcoole, South Dublin","Number","6590"
"Population - 2022","2022","Rathfarnham Village, South Dublin","Number","3145"
"Population - 2022","2022","Rathfarnham-Ballyroan, South Dublin","Number","2743"
"Population - 2022","2022","Rathfarnham-Butterfield, South Dublin","Number","3290"
"Population - 2022","2022","Rathfarnham-Hermitage, South Dublin","Number","4378"
"Population - 2022","2022","Rathfarnham-St. Enda's, South Dublin","Number","3952"
"Population - 2022","2022","Saggart, South Dublin","Number","6248"
"Population - 2022","2022","Tallaght-Avonbeg, South Dublin","Number","1543"
"Population - 2022","2022","Tallaght-Belgard, South Dublin","Number","1635"
"Population - 2022","2022","Tallaght-Fettercairn, South Dublin","Number","11335"
"Population - 2022","2022","Tallaght-Glenview, South Dublin","Number","2171"
"Population - 2022","2022","Tallaght-Jobstown, South Dublin","Number","18125"
