division_name,formatted_address,lat,lng,status,error,route_count,total_departures
Clontarf West B,Clontarf West, Dublin, Ireland,53.3665356,-6.2204253,success,,19,1159
Clontarf West C,Clontarf West, Dublin, Ireland,53.3665356,-6.2204253,success,,19,1159
Clontarf West D,Clontarf West, Dublin, Ireland,53.3665356,-6.2204253,success,,19,1159
Clontarf West E,Clontarf West, Dublin, Ireland,53.3665356,-6.2204253,success,,19,1159
Crumlin A,Crumlin, Dublin, Ireland,53.3143906,-6.3235643,success,,10,663
Crumlin B,Crumlin, Dublin, Ireland,53.3143906,-6.3235643,success,,10,663
Crumlin C,Crumlin, Dublin, Ireland,53.3143906,-6.3235643,success,,10,663
Crumlin D,Crumlin, Dublin, Ireland,53.3143906,-6.3235643,success,,10,663
Crumlin E,Crumlin, Dublin, Ireland,53.3143906,-6.3235643,success,,10,663
Crumlin F,Crumlin, Dublin, Ireland,53.3143906,-6.3235643,success,,10,663
Decies,Decies, Dublin, Ireland,53.3395934,-6.3461107,success,,8,592
Drumcondra South A,Drumcondra, Dublin, Ireland,53.3675992,-6.255457799999999,success,,26,1244
Drumcondra South B,Drumcondra, Dublin, Ireland,53.3675992,-6.255457799999999,success,,26,1244
Drumcondra South C,Drumcondra, Dublin, Ireland,53.3675992,-6.255457799999999,success,,26,1244
Drumfinn,Drumfinn, Dublin, Ireland,53.3470634,-6.3584067,success,,22,803
Edenmore,Edenmore, Dublin, Ireland,53.3860731,-6.1873321,success,,8,612
Finglas North A,Finglas North, Dublin, Ireland,53.3946451,-6.3042795,success,,15,933
Finglas North B,Finglas North, Dublin, Ireland,53.3946451,-6.3042795,success,,15,933
Finglas North C,Finglas North, Dublin, Ireland,53.3946451,-6.3042795,success,,15,933
Finglas South A,Finglas South, Dublin, Ireland,53.3835676,-6.3087669,success,,13,847
Finglas South B,Finglas South, Dublin, Ireland,53.3835676,-6.3087669,success,,13,847
Finglas South C,Finglas South, Dublin, Ireland,53.3835676,-6.3087669,success,,13,847
Finglas South D,Finglas South, Dublin, Ireland,53.3835676,-6.3087669,success,,13,847
Grace Park,Grace Park, Dublin, Ireland,53.3710252,-6.231474,success,,19,1205
Grange A,Aulden Grange, Kilmore, Dublin, Ireland,53.3993379,-6.2340924,success,,10,526
Grange B,Barton Grange, Glebe, Co. Kildare, Ireland,53.3162173,-6.6139775,success,,3,34
Grange C,Clifton Grange, Grange, Cork, Ireland,51.8663265,-8.4541761,success,,2,233
Grange D,Ireland,53.77975540000001,-7.3055309,success,,,
Grange E,Grange Erin, Grange, Cork, Ireland,51.8701393,-8.4447472,success,,8,568
Harmonstown A,Harmonstown, Dublin, Ireland,53.3840481,-6.196286100000001,success,,9,748
Harmonstown B,Harmonstown, Dublin, Ireland,53.3840481,-6.196286100000001,success,,9,748
Inchicore A,Inchicore, Dublin, Ireland,53.33585009999999,-6.3264308,success,,20,524
Inchicore B,Inchicore, Dublin, Ireland,53.33585009999999,-6.3264308,success,,20,524
Inns Quay A,Inns Quay, Dublin, Ireland,53.3461724,-6.2754237,success,,44,1565
Inns Quay B,Inns Quay, Dublin, Ireland,53.3461724,-6.2754237,success,,44,1565
Inns Quay C,Inns Quay, Dublin, Ireland,53.3461724,-6.2754237,success,,44,1565
Kilmainham A,Kilmainham, Dublin, Ireland,53.3430611,-6.3215398,success,,38,764
Kilmainham B,Kilmainham, Dublin, Ireland,53.3430611,-6.3215398,success,,38,764
Kilmainham C,Kilmainham, Dublin, Ireland,53.3430611,-6.3215398,success,,38,764
Kilmore A,Ballask, Kilmore, Co. Wexford, Ireland,52.2056319,-6.5473792,success,,,
Kilmore B,Ballask, Kilmore, Co. Wexford, Ireland,52.2056319,-6.5473792,success,,,
Kilmore C,Kilmore, Armagh BT61 8PA, UK,54.39872,-6.5472,success,,,
Kilmore D,Kilmore, Dublin, Ireland,53.392687,-6.219385099999999,success,,6,456
Kimmage A,Kimmage, Dublin, Ireland,53.32064159999999,-6.298185999999999,success,,7,274
Kimmage B,Kimmage, Dublin, Ireland,53.32064159999999,-6.298185999999999,success,,7,274
Kimmage C,Kimmage, Dublin, Ireland,53.32064159999999,-6.298185999999999,success,,7,274
Kimmage D,Kimmage, Dublin, Ireland,53.32064159999999,-6.298185999999999,success,,7,274
Kimmage E,Kimmage, Dublin, Ireland,53.32064159999999,-6.298185999999999,success,,7,274
Kylemore,Kylemore, Co. Galway, Ireland,53.400692,-9.210401899999999,success,,,
Mansion House A,Dawson St, Dublin 2, Ireland,53.34029710000001,-6.2578301,success,,88,2324
Mansion House B,Dawson St, Dublin 2, Ireland,53.34029710000001,-6.2578301,success,,88,2324
Merchants Quay A,Merchants Quay, Dublin, Ireland,53.3441883,-6.2732313,success,,70,2185
Merchants Quay B,Merchant's Quay, Merchants Quay, Dublin, Ireland,53.345139,-6.2741271,success,,70,2343
Merchants Quay C,Merchant's Quay, Merchants Quay, Dublin, Ireland,53.345139,-6.2741271,success,,70,2343
Merchants Quay D,Merchants Quay, Dublin, Ireland,53.3441883,-6.2732313,success,,70,2185
Merchants Quay E,Merchants Quay, Dublin, Ireland,53.3441883,-6.2732313,success,,70,2185
Merchants Quay F,Merchant's Quay, Merchants Quay, Dublin, Ireland,53.345139,-6.2741271,success,,70,2343
Mountjoy A,Mountjoy, Dublin, Ireland,53.355258,-6.2547576,success,,86,3530
Mountjoy B,7 N Circular Rd, Phibsborough, Dublin, Ireland,53.3605887,-6.268265,success,,39,1650
North City,North City, Dublin, Ireland,53.3495405,-6.260478699999999,success,,116,3832
North Dock A,North Wall, Dublin, Ireland,53.3497493,-6.2306567,success,,34,1035
North Dock B,North Wall, Dublin, Ireland,53.3497493,-6.2306567,success,,34,1035
North Dock C,North Wall, Dublin, Ireland,53.3497493,-6.2306567,success,,34,1035
Pembroke East A,Pembroke Cl E, Pembroke, Co. Cork, Ireland,51.8724163,-8.3432757,success,,2,146
Pembroke East B,Pembroke Cl E, Pembroke, Co. Cork, Ireland,51.8724163,-8.3432757,success,,2,146
Pembroke East C,Pembroke Cl E, Pembroke, Co. Cork, Ireland,51.8724163,-8.3432757,success,,2,146
Pembroke East D,Ireland,53.77975540000001,-7.3055309,success,,,
Pembroke East E,Ireland,53.77975540000001,-7.3055309,success,,,
Pembroke West A,Pembroke, Co. Cork, Ireland,51.87274619999999,-8.3463821,success,,2,146
Pembroke West B,Ireland,53.77975540000001,-7.3055309,success,,,
Pembroke West C,Ireland,53.77975540000001,-7.3055309,success,,,
Phoenix Park,Phoenix Park, Dublin 8, Ireland,53.3558823,-6.3298133,success,,1,19
Priorswood A,Priorswood, Dublin, Ireland,53.3962379,-6.194003899999999,success,,7,540
Priorswood B,Priorswood, Dublin, Ireland,53.3962379,-6.194003899999999,success,,7,540
Priorswood C,Priorswood, Dublin, Ireland,53.3962379,-6.194003899999999,success,,7,540
Priorswood D,Priorswood, Dublin, Ireland,53.3962379,-6.194003899999999,success,,7,540
Priorswood E,Priorswood, Dublin, Ireland,53.3962379,-6.194003899999999,success,,7,540
Raheny-Foxfield,Raheny - Foxfield, Dublin, Ireland,53.3845989,-6.159514400000001,success,,8,581
Raheny-Greendale,Raheny - Greendale, Dublin, Ireland,53.3851366,-6.1490978,success,,8,515
Raheny-St. Assam,Raheny - St. Assam, Dublin, Ireland,53.3717464,-6.1460854,success,,,
Rathfarnham,Rathfarnham, Dublin, Ireland,53.2977169,-6.285000399999999,success,,10,546
Rathmines East A,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
Rathmines East B,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
